epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2069,0.96461,1.98386,1.23245,0.84314,0.29671,0.49419,0.32137,1.10333,2.84604,1.51488,0.000412541,0.000412541,0.000412541
2,99.0199,1.0494,1.32325,1.25863,0.52095,0.53334,0.50561,0.30452,1.6453,2.42673,1.72646,0.000820999,0.000820999,0.000820999
3,141.365,1.03011,1.06706,1.26543,0.59942,0.43205,0.46834,0.28621,1.57978,3.00331,1.71355,0.00122121,0.00122121,0.00122121
4,181.89,1.03158,0.94212,1.26421,0.74373,0.71231,0.73419,0.49344,1.09055,1.17082,1.4763,0.00121287,0.00121287,0.00121287
5,225.653,0.98078,0.85053,1.22706,0.65277,0.57828,0.62308,0.4244,1.19332,2.29981,1.53736,0.0012005,0.0012005,0.0012005
6,268.64,0.94619,0.75602,1.21721,0.80202,0.79793,0.83489,0.58297,1.01618,0.91752,1.35447,0.00118812,0.00118812,0.00118812
7,309.013,0.92926,0.72507,1.20773,0.84117,0.86294,0.89275,0.64936,0.96072,0.85612,1.32541,0.00117575,0.00117575,0.00117575
8,350.554,0.90186,0.68852,1.1907,0.78568,0.78347,0.8052,0.58286,0.96864,0.98585,1.32225,0.00116337,0.00116337,0.00116337
9,393.451,0.88275,0.6569,1.17753,0.88739,0.82962,0.87935,0.6302,0.98514,0.85345,1.35869,0.001151,0.001151,0.001151
10,435.734,0.88069,0.64912,1.17514,0.8093,0.85141,0.87448,0.63051,0.95361,0.88048,1.28366,0.00113863,0.00113863,0.00113863
11,473.446,0.86881,0.60811,1.16985,0.80109,0.83212,0.8439,0.61901,0.95622,0.91387,1.3387,0.00112625,0.00112625,0.00112625
12,516.756,0.85864,0.58882,1.16955,0.8772,0.8612,0.92126,0.65188,0.91472,0.73153,1.32918,0.00111388,0.00111388,0.00111388
13,563.203,0.84049,0.59161,1.15797,0.83177,0.88379,0.92098,0.6847,0.88085,0.68846,1.27147,0.0011015,0.0011015,0.0011015
14,605.223,0.83083,0.57509,1.15585,0.91087,0.84973,0.92633,0.69398,0.9077,0.6909,1.30718,0.00108913,0.00108913,0.00108913
15,618.633,0.81533,0.54717,1.13943,0.85858,0.86173,0.90858,0.68623,0.84321,0.6985,1.22984,0.00107675,0.00107675,0.00107675
16,661.222,0.82485,0.56601,1.14717,0.87027,0.8403,0.89273,0.67836,0.87644,0.75888,1.27746,0.00106437,0.00106437,0.00106437
17,700.374,0.81736,0.54163,1.13496,0.87863,0.86256,0.91219,0.68936,0.8892,0.67715,1.25693,0.001052,0.001052,0.001052
