epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1456.05,0.73367,0.42194,1.0956,0.9078,0.91481,0.9403,0.71933,0.81353,0.5297,1.20547,0.00104034,0.00104034,0.00104034
43,1488.66,0.70827,0.4257,1.07625,0.88702,0.8718,0.91086,0.69149,0.83947,0.69266,1.24,0.00103523,0.00103523,0.00103523
44,1521.95,0.70646,0.41181,1.08722,0.90791,0.89559,0.95271,0.75221,0.78473,0.56081,1.1824,0.00103011,0.00103011,0.00103011
45,1558.72,0.71315,0.42239,1.08596,0.90551,0.8729,0.93408,0.73011,0.81281,0.63965,1.21851,0.001025,0.001025,0.001025
46,1591.69,0.70831,0.41906,1.07824,0.89996,0.94969,0.94769,0.72982,0.87998,0.55348,1.26037,0.00101989,0.00101989,0.00101989
47,1624.17,0.71591,0.40798,1.07963,0.93188,0.92655,0.95182,0.75287,0.82008,0.52227,1.21185,0.00101477,0.00101477,0.00101477
48,1661,0.70065,0.40883,1.07928,0.92188,0.90579,0.94693,0.7389,0.83655,0.5554,1.21857,0.00100966,0.00100966,0.00100966
49,1693.79,0.71951,0.42065,1.08506,0.92505,0.93498,0.95231,0.755,0.78039,0.49999,1.17258,0.00100455,0.00100455,0.00100455
50,1730.43,0.74177,0.4236,1.08438,0.91636,0.92794,0.95211,0.74762,0.80039,0.49451,1.21008,0.000999432,0.000999432,0.000999432
51,1763.48,0.69615,0.39428,1.07539,0.94882,0.92279,0.95791,0.74998,0.80043,0.4707,1.20259,0.000994318,0.000994318,0.000994318
52,1796.33,0.69728,0.39615,1.07011,0.92852,0.93389,0.94898,0.75121,0.81354,0.51249,1.21849,0.000989205,0.000989205,0.000989205
53,1829.29,0.70523,0.40136,1.08718,0.89875,0.94483,0.94713,0.74907,0.79627,0.52083,1.19617,0.000984091,0.000984091,0.000984091
54,1862.73,0.69353,0.39588,1.06525,0.94937,0.93058,0.97267,0.78167,0.79441,0.48127,1.20169,0.000978977,0.000978977,0.000978977
55,1899.69,0.70701,0.40688,1.08162,0.92455,0.94328,0.95039,0.74538,0.80392,0.50571,1.19327,0.000973864,0.000973864,0.000973864
56,1932.5,0.69092,0.40768,1.07097,0.90534,0.93856,0.95658,0.74992,0.79841,0.50957,1.19473,0.00096875,0.00096875,0.00096875
57,1965.01,0.67573,0.39094,1.07098,0.90038,0.9542,0.95107,0.73755,0.80812,0.50339,1.21875,0.000963636,0.000963636,0.000963636
58,1998.66,0.70125,0.40184,1.07878,0.95339,0.92617,0.95777,0.7529,0.80705,0.48626,1.21491,0.000958523,0.000958523,0.000958523
59,2031.42,0.69002,0.38931,1.07012,0.92307,0.9241,0.9462,0.7446,0.78007,0.49778,1.18464,0.000953409,0.000953409,0.000953409
60,2064.72,0.67491,0.38203,1.062,0.91096,0.92934,0.95245,0.7456,0.80201,0.52858,1.20582,0.000948295,0.000948295,0.000948295
61,2096.86,0.69148,0.38794,1.0722,0.92234,0.9385,0.95798,0.77092,0.78511,0.49512,1.18656,0.000943182,0.000943182,0.000943182
62,2130.11,0.66708,0.38496,1.06213,0.94508,0.91298,0.95283,0.73966,0.80545,0.497,1.20571,0.000938068,0.000938068,0.000938068
63,2163.09,0.67588,0.39593,1.06993,0.9413,0.94726,0.96665,0.7646,0.77957,0.46737,1.19424,0.000932955,0.000932955,0.000932955
64,2196.03,0.67249,0.38678,1.06229,0.919,0.93222,0.95046,0.76006,0.78774,0.50338,1.18806,0.000927841,0.000927841,0.000927841
65,2228.75,0.67584,0.38242,1.06509,0.94017,0.9497,0.96402,0.76942,0.78877,0.4442,1.18215,0.000922727,0.000922727,0.000922727
66,2262.03,0.66795,0.37748,1.05536,0.95339,0.928,0.96125,0.74516,0.81868,0.47039,1.2244,0.000917614,0.000917614,0.000917614
67,2295.29,0.67586,0.37863,1.07036,0.92396,0.94198,0.94518,0.73504,0.79,0.49991,1.21734,0.0009125,0.0009125,0.0009125
68,2328.34,0.68277,0.38177,1.0696,0.92534,0.91956,0.95575,0.74858,0.7687,0.46738,1.17273,0.000907386,0.000907386,0.000907386
69,2360.89,0.68002,0.38926,1.0653,0.89472,0.93853,0.9444,0.73371,0.80775,0.53252,1.23368,0.000902273,0.000902273,0.000902273
70,2393.89,0.66859,0.38367,1.06309,0.92073,0.95383,0.95881,0.75101,0.78926,0.48261,1.19993,0.000897159,0.000897159,0.000897159
71,2426.8,0.66363,0.38386,1.05797,0.93317,0.92304,0.95055,0.75359,0.78524,0.49702,1.21759,0.000892045,0.000892045,0.000892045
72,2459.41,0.662,0.38316,1.05405,0.91172,0.93663,0.95537,0.75607,0.80812,0.52027,1.19908,0.000886932,0.000886932,0.000886932
73,2492.58,0.67811,0.39342,1.06953,0.93803,0.92541,0.95907,0.74081,0.79881,0.47948,1.20769,0.000881818,0.000881818,0.000881818
74,2525.69,0.65403,0.37427,1.05182,0.94152,0.92976,0.9549,0.74997,0.79111,0.48456,1.22143,0.000876705,0.000876705,0.000876705
75,2558.49,0.66459,0.37256,1.06208,0.93819,0.94483,0.95397,0.75742,0.79241,0.48598,1.2154,0.000871591,0.000871591,0.000871591
76,2591.34,0.65569,0.37204,1.05658,0.94383,0.91501,0.94513,0.74001,0.8218,0.52302,1.21555,0.000866477,0.000866477,0.000866477
77,2624.26,0.64799,0.36469,1.04518,0.92993,0.9317,0.96076,0.76733,0.78255,0.47874,1.1946,0.000861364,0.000861364,0.000861364
78,2657.5,0.64887,0.36756,1.05936,0.94365,0.89573,0.9545,0.74394,0.80323,0.48772,1.21887,0.00085625,0.00085625,0.00085625
79,2690.06,0.64166,0.36006,1.04236,0.93204,0.92947,0.93092,0.72803,0.81157,0.55502,1.22994,0.000851136,0.000851136,0.000851136
80,2723.37,0.63617,0.35359,1.05404,0.93953,0.92387,0.95798,0.75368,0.82035,0.48876,1.22335,0.000846023,0.000846023,0.000846023
81,2756.24,0.6664,0.37071,1.06273,0.91124,0.93712,0.93581,0.7495,0.79756,0.50891,1.19941,0.000840909,0.000840909,0.000840909
82,2789.39,0.65339,0.36285,1.04916,0.94829,0.93651,0.95308,0.76107,0.80718,0.46059,1.21887,0.000835795,0.000835795,0.000835795
83,2821.95,0.6539,0.36905,1.0577,0.92431,0.94286,0.95742,0.76522,0.78468,0.47985,1.19273,0.000830682,0.000830682,0.000830682
84,2855.38,0.64053,0.35278,1.04268,0.92133,0.94516,0.9526,0.7437,0.8082,0.49116,1.20927,0.000825568,0.000825568,0.000825568
85,2888.22,0.64363,0.36196,1.05851,0.92995,0.94566,0.95177,0.74636,0.80056,0.47869,1.22045,0.000820455,0.000820455,0.000820455
86,2921.01,0.63898,0.35931,1.04571,0.92502,0.9411,0.95189,0.76143,0.78087,0.48185,1.19506,0.000815341,0.000815341,0.000815341
87,2954.08,0.61836,0.33953,1.03864,0.94126,0.92826,0.95651,0.76128,0.773,0.48491,1.20026,0.000810227,0.000810227,0.000810227
88,2986.95,0.63982,0.35709,1.05628,0.90267,0.96325,0.96186,0.76486,0.78142,0.4688,1.19408,0.000805114,0.000805114,0.000805114
89,3020.15,0.64161,0.35251,1.05615,0.9171,0.94812,0.96289,0.76257,0.79015,0.48134,1.19447,0.0008,0.0008,0.0008
90,3052.98,0.62332,0.34608,1.04556,0.9246,0.93191,0.94157,0.7416,0.79703,0.53412,1.20217,0.000794886,0.000794886,0.000794886
91,3086.26,0.64508,0.35726,1.05135,0.89456,0.95283,0.94803,0.74035,0.79671,0.49678,1.19196,0.000789773,0.000789773,0.000789773
92,3118.96,0.64299,0.35127,1.05533,0.91573,0.94902,0.95604,0.7508,0.8029,0.50156,1.20624,0.000784659,0.000784659,0.000784659
93,3152.19,0.63164,0.36021,1.04336,0.93404,0.92814,0.95868,0.74926,0.81211,0.47264,1.22371,0.000779545,0.000779545,0.000779545
94,3184.98,0.62805,0.35322,1.04251,0.90144,0.95659,0.95115,0.75575,0.77633,0.4811,1.2149,0.000774432,0.000774432,0.000774432
95,3217.93,0.62081,0.36234,1.03623,0.91201,0.94239,0.95233,0.76467,0.77903,0.5045,1.17178,0.000769318,0.000769318,0.000769318
96,3251.25,0.63046,0.35102,1.03704,0.89633,0.93778,0.94447,0.75602,0.77144,0.51054,1.18248,0.000764205,0.000764205,0.000764205
97,3284,0.629,0.34986,1.04,0.92511,0.93731,0.94607,0.74644,0.78783,0.51215,1.20162,0.000759091,0.000759091,0.000759091
98,3317.38,0.62627,0.35664,1.04535,0.92084,0.92947,0.95373,0.75495,0.81735,0.52117,1.21554,0.000753977,0.000753977,0.000753977
99,3350.25,0.62784,0.34993,1.04047,0.92934,0.92847,0.95387,0.76929,0.7841,0.49593,1.21321,0.000748864,0.000748864,0.000748864
100,3383.3,0.60855,0.34215,1.0433,0.94147,0.90252,0.93576,0.72924,0.79965,0.52868,1.22344,0.00074375,0.00074375,0.00074375
101,3415.88,0.61407,0.34469,1.04347,0.92435,0.95136,0.95114,0.75952,0.78879,0.47937,1.21975,0.000738636,0.000738636,0.000738636
102,3449.26,0.613,0.34741,1.04665,0.90691,0.96217,0.95181,0.75931,0.78238,0.47443,1.20072,0.000733523,0.000733523,0.000733523
103,3482.15,0.60447,0.33868,1.03284,0.92314,0.94853,0.95134,0.74891,0.79934,0.46526,1.20894,0.000728409,0.000728409,0.000728409
104,3515.11,0.60147,0.34265,1.03051,0.9119,0.95529,0.9424,0.75253,0.78612,0.45413,1.19742,0.000723295,0.000723295,0.000723295
105,3547.82,0.59907,0.34937,1.02667,0.92656,0.93653,0.9576,0.75762,0.78489,0.46883,1.2059,0.000718182,0.000718182,0.000718182
106,3580.92,0.5899,0.34116,1.02797,0.88578,0.96792,0.95266,0.7599,0.78853,0.46675,1.20462,0.000713068,0.000713068,0.000713068
107,3614.05,0.60491,0.34721,1.03592,0.93053,0.89907,0.94203,0.74595,0.78675,0.49976,1.21019,0.000707955,0.000707955,0.000707955
108,3647.08,0.60656,0.34261,1.03629,0.92442,0.94835,0.94751,0.75776,0.78887,0.47499,1.2178,0.000702841,0.000702841,0.000702841
109,3680.81,0.60945,0.34532,1.03715,0.9225,0.93777,0.95548,0.75974,0.78803,0.49336,1.20863,0.000697727,0.000697727,0.000697727
110,3713.69,0.60176,0.34432,1.02884,0.93853,0.93481,0.95009,0.74035,0.81274,0.48439,1.22738,0.000692614,0.000692614,0.000692614
111,3746.6,0.61216,0.34456,1.03914,0.92341,0.95168,0.9486,0.75619,0.7947,0.48441,1.21559,0.0006875,0.0006875,0.0006875
112,3780.04,0.59101,0.3307,1.02717,0.91542,0.9668,0.95511,0.75703,0.79095,0.46946,1.21372,0.000682386,0.000682386,0.000682386
113,3813.16,0.60862,0.33581,1.03412,0.91936,0.94052,0.94966,0.75631,0.76963,0.47617,1.21223,0.000677273,0.000677273,0.000677273
114,3846.23,0.592,0.34176,1.03384,0.91886,0.94628,0.95837,0.76502,0.76964,0.45657,1.19693,0.000672159,0.000672159,0.000672159
115,3879.1,0.59668,0.3352,1.02843,0.93338,0.96002,0.9586,0.76987,0.76815,0.4311,1.19337,0.000667045,0.000667045,0.000667045
116,3912.53,0.60102,0.33158,1.03654,0.92931,0.94911,0.95212,0.75235,0.78759,0.45921,1.21563,0.000661932,0.000661932,0.000661932
117,3945.82,0.59171,0.33138,1.02513,0.93885,0.93331,0.9521,0.75481,0.793,0.47379,1.21247,0.000656818,0.000656818,0.000656818
