                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78627,                0.48977,                 1.0575,                 0.9465,                0.92132,                0.96066,                0.77686,                0.76838,                0.44923,                 1.0974,              0.0082675,              0.0082675,              0.0082675
                     37,                 0.7838,                0.48931,                 1.0584,                0.94668,                0.93008,                0.96058,                0.78029,                0.76704,                0.43018,                 1.1105,               0.008218,               0.008218,               0.008218
                     38,                0.77629,                0.47713,                 1.0515,                0.95838,                0.92603,                0.96618,                 0.7797,                0.76582,                0.43599,                 1.1009,              0.0081685,              0.0081685,              0.0081685
                     39,                0.77475,                0.47316,                 1.0518,                0.93757,                0.92996,                0.96041,                0.77255,                0.79448,                 0.4353,                 1.1219,               0.008119,               0.008119,               0.008119
                     40,                0.77572,                0.47315,                 1.0582,                0.92686,                0.93554,                0.96071,                0.77995,                0.76185,                0.44757,                 1.0941,              0.0080695,              0.0080695,              0.0080695
                     41,                0.76498,                0.47157,                 1.0506,                0.94389,                0.91817,                 0.9606,                0.77954,                 0.7709,                0.43123,                 1.1003,                0.00802,                0.00802,                0.00802
                     42,                0.76961,                0.47127,                 1.0572,                0.94374,                 0.9231,                0.96107,                0.78283,                0.77353,                0.42865,                 1.1088,              0.0079705,              0.0079705,              0.0079705
                     43,                0.76665,                0.47025,                 1.0534,                0.94083,                0.92574,                 0.9587,                0.78478,                0.76787,                0.45182,                 1.1011,               0.007921,               0.007921,               0.007921
                     44,                0.76141,                0.46412,                 1.0526,                0.94726,                0.93082,                0.95648,                0.78438,                0.75981,                0.43625,                 1.0941,              0.0078715,              0.0078715,              0.0078715
                     45,                0.76173,                0.46454,                 1.0477,                0.95806,                0.93092,                0.96039,                0.78728,                0.76852,                0.41027,                 1.1058,               0.007822,               0.007822,               0.007822
                     46,                0.76087,                0.45864,                 1.0448,                0.95037,                0.91422,                0.96367,                0.78624,                0.75729,                0.43336,                 1.0899,              0.0077725,              0.0077725,              0.0077725
                     47,                0.76078,                0.45403,                 1.0487,                0.94917,                0.93781,                0.96121,                0.78828,                0.74906,                0.41821,                 1.0927,               0.007723,               0.007723,               0.007723
                     48,                0.74704,                0.45022,                 1.0429,                0.94592,                0.93135,                0.95982,                0.77994,                0.77753,                0.42548,                 1.1178,              0.0076735,              0.0076735,              0.0076735
                     49,                0.72988,                0.44036,                   1.03,                0.95079,                0.93005,                0.96552,                0.78632,                0.76111,                0.41787,                 1.1087,               0.007624,               0.007624,               0.007624
                     50,                0.74652,                0.44354,                  1.043,                0.94788,                0.93556,                0.96304,                0.79077,                0.75759,                0.40906,                 1.0959,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.7529,                0.45037,                 1.0428,                 0.9599,                0.91875,                0.96051,                0.78852,                0.76072,                0.42133,                 1.0906,               0.007525,               0.007525,               0.007525
                     52,                0.73158,                0.44191,                 1.0314,                0.94387,                0.93937,                0.96098,                 0.7912,                0.75121,                  0.402,                  1.076,              0.0074755,              0.0074755,              0.0074755
                     53,                0.74909,                0.43849,                 1.0375,                0.94635,                 0.9356,                0.97072,                0.79854,                0.74615,                0.40287,                 1.0898,               0.007426,               0.007426,               0.007426
                     54,                0.73186,                0.43469,                 1.0308,                0.96081,                0.92863,                0.95838,                0.78065,                0.76338,                0.41217,                 1.1035,              0.0073765,              0.0073765,              0.0073765
                     55,                0.73305,                0.43343,                 1.0281,                0.96397,                0.92799,                0.95985,                0.78808,                0.77149,                0.40872,                 1.0991,               0.007327,               0.007327,               0.007327
                     56,                0.74356,                0.43971,                 1.0383,                0.95912,                 0.9278,                0.96447,                0.79368,                0.75079,                0.39282,                 1.0831,              0.0072775,              0.0072775,              0.0072775
                     57,                0.71876,                0.43395,                   1.03,                0.92865,                0.94892,                0.96334,                0.78978,                0.74565,                0.40458,                 1.0989,               0.007228,               0.007228,               0.007228
                     58,                0.73491,                0.42841,                 1.0388,                0.95431,                0.91787,                0.96501,                 0.7872,                0.77428,                 0.4201,                  1.124,              0.0071785,              0.0071785,              0.0071785
                     59,                0.72447,                0.42598,                 1.0306,                 0.9527,                0.92974,                0.96432,                0.79359,                0.74746,                0.40124,                 1.1038,               0.007129,               0.007129,               0.007129
                     60,                0.71642,                0.42399,                 1.0258,                0.94353,                0.93062,                0.96428,                0.78956,                 0.7507,                0.40792,                 1.0948,              0.0070795,              0.0070795,              0.0070795
                     61,                0.72077,                0.42501,                 1.0285,                0.95463,                0.92897,                0.96537,                 0.7998,                 0.7437,                0.40982,                 1.0858,                0.00703,                0.00703,                0.00703
                     62,                0.71482,                0.41994,                 1.0224,                0.93706,                 0.9309,                0.96503,                 0.7935,                0.74996,                0.41049,                 1.0984,              0.0069805,              0.0069805,              0.0069805
                     63,                0.71522,                0.41255,                 1.0169,                0.95143,                0.93004,                0.96285,                0.79755,                0.75121,                0.39576,                 1.0959,               0.006931,               0.006931,               0.006931
                     64,                0.71924,                0.42258,                 1.0277,                0.94543,                 0.9361,                0.96174,                 0.7904,                0.75387,                0.40123,                  1.106,              0.0068815,              0.0068815,              0.0068815
                     65,                 0.7087,                0.41672,                 1.0259,                0.95187,                0.92581,                0.96397,                0.79563,                  0.755,                0.39503,                 1.0981,               0.006832,               0.006832,               0.006832
                     66,                0.71453,                0.41431,                 1.0283,                0.95789,                0.92698,                0.96916,                0.79513,                0.75014,                0.40001,                 1.1039,              0.0067825,              0.0067825,              0.0067825
