                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.013,                  2.127,                  1.266,                0.69598,                 0.6771,                0.71654,                0.52722,                 0.9089,                 1.4608,                 1.2212,              0.0033221,              0.0033221,              0.0033221
                      2,                0.90993,                0.89331,                 1.1425,                0.83667,                0.78777,                0.88764,                0.66483,                0.87153,                0.85136,                 1.2381,              0.0066423,              0.0066423,              0.0066423
                      3,                0.95361,                0.89542,                 1.1724,                0.77085,                0.65483,                0.74111,                0.54189,                 1.0085,                 1.3144,                 1.3232,              0.0099492,              0.0099492,              0.0099492
                      4,                 1.0273,                0.94396,                 1.2113,                0.83527,                0.78115,                 0.8612,                0.61107,                 1.0308,                0.87602,                 1.3282,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0042,                0.87215,                 1.1927,                0.87211,                 0.8177,                0.87917,                0.63569,                0.97844,                0.79352,                 1.3295,              0.0099208,              0.0099208,              0.0099208
                      6,                0.99783,                0.82914,                 1.1953,                0.75442,                 0.6904,                0.84796,                0.62608,                0.94993,                 1.1476,                 1.2874,               0.009901,               0.009901,               0.009901
                      7,                0.96817,                0.78816,                 1.1723,                0.87027,                0.87971,                0.92738,                0.69792,                0.92025,                0.64711,                 1.2452,              0.0098812,              0.0098812,              0.0098812
                      8,                0.96347,                0.75956,                 1.1694,                 0.8915,                0.84885,                0.91219,                0.68668,                0.92156,                0.66465,                 1.2381,              0.0098614,              0.0098614,              0.0098614
                      9,                0.95997,                 0.7485,                 1.1549,                0.67549,                0.52506,                0.57485,                0.40866,                 1.2041,                 2.2237,                 1.4988,              0.0098416,              0.0098416,              0.0098416
                     10,                0.95716,                0.72503,                 1.1659,                0.86741,                0.88699,                0.92449,                0.69581,                0.91279,                0.63249,                 1.2571,              0.0098218,              0.0098218,              0.0098218
                     11,                0.93567,                0.70781,                 1.1451,                0.92251,                 0.8249,                 0.9257,                0.71097,                0.86982,                0.63316,                 1.1932,               0.009802,               0.009802,               0.009802
                     12,                0.92527,                0.69173,                  1.143,                0.90393,                0.90195,                0.93792,                0.69807,                 0.8942,                0.59345,                 1.2248,              0.0097822,              0.0097822,              0.0097822
                     13,                 0.9024,                0.66573,                  1.125,                 0.9185,                0.85882,                0.92425,                0.69873,                0.89702,                0.61617,                 1.2075,              0.0097624,              0.0097624,              0.0097624
