epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7930.14,0.79157,0.48731,1.05758,0.93508,0.92463,0.95266,0.77472,0.76665,0.44367,1.08665,0.0091882,0.0091882,0.0091882
43,8044.55,0.78027,0.48817,1.0479,0.93724,0.9402,0.95301,0.7696,0.77225,0.43562,1.09275,0.0091684,0.0091684,0.0091684
44,8157.81,0.77638,0.47551,1.04909,0.94582,0.9265,0.95904,0.77787,0.77045,0.42941,1.08703,0.0091486,0.0091486,0.0091486
45,8268.22,0.77825,0.47158,1.04583,0.93291,0.91945,0.952,0.76299,0.77421,0.44286,1.10633,0.0091288,0.0091288,0.0091288
46,8373.57,0.7723,0.47459,1.04319,0.95132,0.93753,0.96053,0.77438,0.7629,0.43046,1.08593,0.009109,0.009109,0.009109
47,8478.19,0.77536,0.46698,1.05082,0.93468,0.93567,0.95925,0.78045,0.76861,0.43843,1.0957,0.0090892,0.0090892,0.0090892
48,8588.98,0.76406,0.47159,1.03999,0.93759,0.94388,0.9594,0.77233,0.77367,0.43426,1.09051,0.0090694,0.0090694,0.0090694
49,8696.32,0.7396,0.45863,1.03011,0.94705,0.92126,0.9537,0.77511,0.76721,0.43385,1.10832,0.0090496,0.0090496,0.0090496
50,8804.73,0.75727,0.46507,1.04572,0.94637,0.92864,0.9593,0.77842,0.75953,0.43167,1.08462,0.0090298,0.0090298,0.0090298
51,8911.52,0.77073,0.45967,1.04443,0.9562,0.93263,0.95776,0.78174,0.77829,0.42219,1.08406,0.00901,0.00901,0.00901
52,9023.75,0.74777,0.45858,1.03073,0.95636,0.92193,0.95936,0.79144,0.76489,0.42001,1.09303,0.0089902,0.0089902,0.0089902
53,9135.3,0.75671,0.4524,1.03752,0.94384,0.92315,0.96048,0.78401,0.76145,0.42421,1.09192,0.0089704,0.0089704,0.0089704
54,9246.62,0.75205,0.44633,1.03703,0.93244,0.93104,0.95701,0.78028,0.77276,0.41784,1.09894,0.0089506,0.0089506,0.0089506
55,9356.17,0.74992,0.44608,1.03052,0.93791,0.94526,0.95932,0.78425,0.75731,0.42116,1.07582,0.0089308,0.0089308,0.0089308
56,9464.23,0.75708,0.44915,1.03915,0.94404,0.93117,0.96169,0.78544,0.7615,0.42733,1.09278,0.008911,0.008911,0.008911
57,9573.58,0.74197,0.44456,1.03789,0.95879,0.9205,0.96054,0.7887,0.74804,0.41215,1.08811,0.0088912,0.0088912,0.0088912
58,9686.17,0.74564,0.44196,1.03837,0.93913,0.94144,0.9647,0.7912,0.75136,0.42431,1.08307,0.0088714,0.0088714,0.0088714
59,9794.89,0.74518,0.44018,1.03408,0.97146,0.91696,0.96267,0.78695,0.74647,0.40962,1.08859,0.0088516,0.0088516,0.0088516
60,9903.04,0.73372,0.43901,1.03082,0.94503,0.93308,0.96375,0.78887,0.75065,0.43045,1.08512,0.0088318,0.0088318,0.0088318
61,10013.3,0.73249,0.43796,1.02712,0.93512,0.93706,0.96156,0.78591,0.75507,0.41946,1.08882,0.008812,0.008812,0.008812
